Inscricao;Perfil;Cargo;Estado;Concorre Vaga Ampla Concorrência;Concorre Vagas Reservadas às pessoas com deficiência;Concorre Vagas reservadas aos candidatos negros;Cidade onde realizará a 1a Etapa das Provas;Estado onde realizará a 1a Etapa das Provas
3003094;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003460;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001656;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001284;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003902;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000909;PE54;Saúde Coletiva;Recife;Sim;Não;Sim;Recife;PE
3003410;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Brasília;DF
3002287;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001103;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002319;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3000101;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003766;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002102;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000329;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Salvador;BA
3004676;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000280;PE51;Microbiologia Básica e Molecular aplicada a Bactérias e Protozoários causadores de Zoonoses;Recife;Sim;Não;Não;Recife;PE
3002859;PE83;Pesquisa Qualitativa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004745;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002225;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003680;PE45;Espectrometria de Massas Computacional;Curitiba;Sim;Não;Não;Curitiba;PR
3002487;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3000229;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001600;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Curitiba;PR
3000483;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003198;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3003857;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Curitiba;PR
3002838;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Teresina;PI
3001470;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002188;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Brasília;DF
3001162;PE63;Pesquisa Clínica na Área da Mulher;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001159;PE24;Biodiversidade e Vigilância Genômica no âmbito da Saúde Única;Campo Grande;Sim;Não;Não;Campo Grande;MS
3002201;PE30;Pesquisa Clínica;Salvador;Sim;Não;Sim;Rio de Janeiro;RJ
3004296;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000977;PE85;Mudanças climáticas, emergências sanitárias e vigilância em saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004387;PE01;Bioinformática;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000082;PE07;Análise de Políticas e Sistemas de Saúde;Rio de Janeiro;Sim;Não;Não;Campo Grande;MS
3000163;PE63;Pesquisa Clínica na Área da Mulher;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3003305;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Recife;PE
3003199;PE59;Criação e desenvolvimento de modelos de peixes para uso científico;Rio de Janeiro;Sim;Sim;Não;Rio de Janeiro;RJ
3003807;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3003509;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Recife;PE
3000994;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Campo Grande;MS
3001727;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3003255;PE50;Virologia Clássica e molecular;Recife;Sim;Não;Sim;Porto Velho;RO
3001371;PE04;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001732;PE42;Política, planejamento e gestão de sistemas, programas e serviços de saúde;Belo Horizonte;Sim;Não;Não;Teresina;PI
3000539;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000301;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001812;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001349;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004055;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3001612;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002374;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000195;PE35;Saúde Única na Amazônia;Manaus;Sim;Não;Não;Manaus;AM
3004443;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003177;PE55;Bioecologia, vigilância e controle de culicídeos;Recife;Sim;Não;Não;Recife;PE
3003454;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000570;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000965;PE88;Bioquímica, Biologia Celular e Molecular de Bactérias de Interesse em Saúde Pública;Rio de Janeiro;Sim;Não;Sim;Curitiba;PR
3002076;PE17;Cooperação em Políticas, Sistemas e Gestão de Saúde;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3001830;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001091;PE35;Saúde Única na Amazônia;Manaus;Sim;Não;Não;Belo Horizonte;MG
3002880;PE19;Educação profissional de nível médio com ênfase em trabalho e educação em saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003693;PE68;Pesquisa Clínica em Dermatologia em Doenças Infecciosas;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000774;PE83;Pesquisa Qualitativa;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3004650;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Curitiba;PR
3004684;PE35;Saúde Única na Amazônia;Manaus;Sim;Não;Não;Brasília;DF
3002627;PE19;Educação profissional de nível médio com ênfase em trabalho e educação em saúde;Rio de Janeiro;Sim;Sim;Não;Rio de Janeiro;RJ
3001396;PE42;Política, planejamento e gestão de sistemas, programas e serviços de saúde;Belo Horizonte;Sim;Não;Não;Brasília;DF
3000193;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Não;Curitiba;PR
3000102;PE28;Parasitos e vetores de malária na Amazônia;Porto Velho;Sim;Não;Não;Porto Velho;RO
3003257;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Brasília;DF
3004563;PE35;Saúde Única na Amazônia;Manaus;Sim;Não;Não;Rio de Janeiro;RJ
3003461;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002747;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000303;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Manaus;AM
3004214;PE60;Pesquisa Translacional;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001548;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3001842;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Sim;Não;Rio de Janeiro;RJ
3004376;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001725;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001092;PE75;Informação Científica e Tecnológica em Saúde II;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002882;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004163;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Sim;Não;Curitiba;PR
3003883;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000036;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Sim;Curitiba;PR
3001774;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001113;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Rio de Janeiro;RJ
3002199;PE01;Bioinformática;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004216;PE39;Biotecnologia aplicada a Inovações Terapêuticas e Imunobiológicos;Belo Horizonte;Sim;Não;Não;Salvador;BA
3002884;PE14;Política, planejamento, equidade e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002689;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004025;PE82;Micologia aplicada a saúde;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3003530;PE40;Virologia com ênfase em doenças emergentes e reemergentes;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3001360;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000468;PE10;Assistência Farmacêutica;Rio de Janeiro;Sim;Não;Sim;Curitiba;PR
3002321;PE10;Assistência Farmacêutica;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002078;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Brasília;DF
3003214;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Fortaleza;CE
3002011;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Teresina;PI
3002913;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003378;PE36;Vigilância em Saúde e Ambiente na Amazônia;Manaus;Sim;Não;Sim;Manaus;AM
3004726;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3004132;PE06;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003721;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3000046;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002622;PE14;Política, planejamento, equidade e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001580;PE15;Saneamento e Vigilância em Saúde Ambiental;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000505;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3003035;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002060;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3001608;PE15;Saneamento e Vigilância em Saúde Ambiental;Rio de Janeiro;Sim;Sim;Não;Teresina;PI
3001904;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004116;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Fortaleza;CE
3004268;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002752;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Salvador;BA
3000474;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Sim;Belo Horizonte;MG
3000835;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3000312;PE77;Análise de informações dos sistemas nacionais de saúde (dados secundários);Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3000944;PE45;Espectrometria de Massas Computacional;Curitiba;Sim;Não;Sim;Belo Horizonte;MG
3002793;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3000820;PE77;Análise de informações dos sistemas nacionais de saúde (dados secundários);Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004624;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003870;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001883;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001638;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Recife;PE
3000180;PE33;Medicina e Saúde Pública de Precisão;Salvador;Sim;Não;Não;Belo Horizonte;MG
3002012;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Fortaleza;CE
3002209;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Não;Curitiba;PR
3004790;PE02;Terapias avançadas;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000647;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001527;PE36;Vigilância em Saúde e Ambiente na Amazônia;Manaus;Sim;Não;Não;Belo Horizonte;MG
3003339;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000721;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003513;PE14;Política, planejamento, equidade e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000917;PE51;Microbiologia Básica e Molecular aplicada a Bactérias e Protozoários causadores de Zoonoses;Recife;Sim;Não;Sim;Recife;PE
3001691;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001367;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000141;PE50;Virologia Clássica e molecular;Recife;Sim;Não;Não;Recife;PE
3002192;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3001457;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002673;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001578;PE28;Parasitos e vetores de malária na Amazônia;Porto Velho;Sim;Não;Não;Porto Velho;RO
3001799;PE04;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000592;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3004755;PE33;Medicina e Saúde Pública de Precisão;Salvador;Sim;Não;Não;Brasília;DF
3000383;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Fortaleza;CE
3003788;PE77;Análise de informações dos sistemas nacionais de saúde (dados secundários);Rio de Janeiro;Sim;Não;Não;Brasília;DF
3004039;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000831;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Recife;PE
3004467;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001890;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Recife;PE
3004434;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Fortaleza;CE
3002709;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003636;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3002683;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Recife;PE
3003240;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3000325;PE51;Microbiologia Básica e Molecular aplicada a Bactérias e Protozoários causadores de Zoonoses;Recife;Sim;Não;Não;Recife;PE
3003679;PE31;Virologia Evolutiva e Computacional;Salvador;Sim;Não;Não;Rio de Janeiro;RJ
3002079;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Teresina;PI
3000437;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004742;PE39;Biotecnologia aplicada a Inovações Terapêuticas e Imunobiológicos;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3000199;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3001404;PE05;Estudos de Público e Educação Museal;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001376;PE71;Epidemiologia Clínica;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001258;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001622;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Recife;PE
3000250;PE25;Química de Produtos Naturais aplicada a região do Cerrado Pantanal;Campo Grande;Sim;Não;Não;Curitiba;PR
3000029;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003015;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3002550;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Sim;Não;Rio de Janeiro;RJ
3003246;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001971;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000684;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001840;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000730;PE48;Engenharia Biomédica;Curitiba;Sim;Não;Sim;Rio de Janeiro;RJ
3002963;PE06;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001844;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000693;PE32;Ciência de Dados em Saúde;Salvador;Sim;Não;Não;Salvador;BA
3003841;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004574;PE24;Biodiversidade e Vigilância Genômica no âmbito da Saúde Única;Campo Grande;Sim;Não;Sim;Campo Grande;MS
3002370;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3003860;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001784;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3004405;PE83;Pesquisa Qualitativa;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003838;PE58;Desenvolvimento e validação de metodologias alternativas ao uso de animais na pesquisa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002308;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Curitiba;PR
3002505;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3004089;PE68;Pesquisa Clínica em Dermatologia em Doenças Infecciosas;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001684;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001930;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000330;PE70;Biologia Celular e Molecular de microorganismos;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002819;PE50;Virologia Clássica e molecular;Recife;Sim;Não;Não;Recife;PE
3001478;PE48;Engenharia Biomédica;Curitiba;Sim;Não;Não;Fortaleza;CE
3000435;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Salvador;BA
3001333;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004645;PE28;Parasitos e vetores de malária na Amazônia;Porto Velho;Sim;Não;Não;Belo Horizonte;MG
3000855;PE06;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000905;PE56;Ciências Sociais em Saúde;Brasília;Sim;Sim;Não;Brasília;DF
3001702;PE36;Vigilância em Saúde e Ambiente na Amazônia;Manaus;Sim;Não;Não;Manaus;AM
3002533;PE04;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004182;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Fortaleza;CE
3001101;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Recife;PE
3002902;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Brasília;DF
3001465;PE42;Política, planejamento e gestão de sistemas, programas e serviços de saúde;Belo Horizonte;Sim;Não;Sim;Belo Horizonte;MG
3004267;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Salvador;BA
3002499;PE89;Bioquímica, Biologia Celular e Biologia Molecular de Parasitos de Interesse na Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001647;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Recife;PE
3002451;PE30;Pesquisa Clínica;Salvador;Sim;Não;Sim;Rio de Janeiro;RJ
3003067;PE02;Terapias avançadas;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003115;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004077;PE06;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001459;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3003607;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001805;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
